// Faire les derivations morphologiques d'autant de mots que possible,,,,Catégories principales :,N V ADJ ADV,,
// Exemples,,,,,,,
// 0.,Dérivé,Motif trouvé,Motif de remplacement,Sémantique de la règle,Contrainte,,
manger,mangeur,*er,*eur,"""verbe -> agent""",$y r_agent $x,$x r_pos Ver:Inf,$y r_pos Nom:
jardiner,jardinier,*er,*ier,"""verbe -> agent""",$x r_pos Ver:Inf,$y r_agent $x,
mendier,mendiant,*ier,*iant,"""verbe -> agent""",$x r_pos Ver:Inf,$y r_agent $x,
postuler,postulant,*er,*ant,"""verbe -> agent""",$x r_pos Ver:Inf,$y r_agent $x,
dormir,dormeur,*ir,*eur,"""verbe -> agent""",$x r_data  Ver:Groupe3,$y r_agent $x,
finir,finisseur,*ir,*isseur,"""verbe -> agent""",$x r_data  Ver:Groupe2,$y r_agent $x,
garder,gardien,*er,*ien,"""verbe -> agent""",$x r_pos Ver:Inf,$y r_agent $x,
fabriquer,fabricant,*quer,*cant,"""verbe -> agent""",$x r_pos Ver:Inf,$y r_agent $x,
candidat,candidater,*,*er,"""nom -> verbe""",$x r_pos Nom:,$y r_pos Ver:Inf,
criminel,criminaliser,*el,*aliser,"""nom -> verbe""",$x r_pos Nom:,$y r_pos Ver:Inf,
criminaliser,criminalisation,*er,*ation,"""verbe -> action""",$x r_pos Ver:Inf,,
laver,lavage,*er,*age,"""verbe -> action""",$x r_pos Ver:Inf,,
laver,lavement,*er,*ement,"""verbe -> action""",$x r_pos Ver:Inf,,
finir,finissage,*ir,*issage,"""verbe -> action""",$x r_pos Ver:Inf,,
finir,finition,*ir,*ition,"""verbe -> action""",$x r_pos Ver:Inf,,
endormir,endormissement,*ir,*issement,"""verbe -> action""",$x r_pos Ver:Inf,,
libérer,libération,*er,*ation,"""verbe -> action""",$x r_pos Ver:Inf,,
trouver,trouvaille,*er,*aille,"""verbe -> action""",$x r_pos Ver:Inf,,
geler,gelure,*er,*ure,"""verbe -> action""",$x r_pos Ver:Inf,,
laver,lavable,*er,*able,"""verbe -> adjectif""",$x r_pos Ver:Inf,$x r_verbe-adj  $y,
rapide,rapidement,*,*ment,"""adjectif -> adverbe""",$x r_pos Adj:,$y r_pos Adv:,
violent,violemment,*ent,*emment,"""adjectif -> adverbe""",$x r_pos Adj:,$y r_pos Adv:,
élégant,élégamment,*ant,*amment,"""adjectif -> adverbe""",$x r_pos Adj:,$y r_pos Adv:,
économe,économiser,*e,*iser,"""adjectif -> verbe""",$x r_pos Adj:,$y r_pos Ver:Inf,
vipère,vipereau,*ère,*ereau,"""nom -> nom""",$x r_pos Nom:,$y r_pos Nom:,
aigle,aiglon,*e,*on,"""nom -> nom""",$x r_pos Nom:,$y r_pos Nom:,
chat,chaton,*,*on,"""nom -> nom""",$x r_pos Nom:,$y r_pos Nom:,
lapin,lapereau,*in,*ereau,"""nom -> nom""",$x r_pos Nom:,$y r_pos Nom:,
fumer,fumoir,*er,*oir,"""verbe -> nom""",$x r_pos Ver:Inf,$y r_pos Nom:,
manger,mangeoire,*ger,*geoire,"""verbe -> nom""",$x r_pos Ver:Inf,$y r_pos Nom:,
urine,urinaire,*e,*aire,"""nom -> adjectif""",$x r_pos Nom:,$y r_pos Adj:,
productif,productivité,*tif,*tivité,"""adjectif -> nom """,$x r_pos Adj:,$y r_pos Nom:,
cheval,chevaux,*al,*aux,"""nom -> nom""",,,
malade,maladif,*e,*if,,,,
accident,accidentelle,*,*elle,,,,
accident,accidenté,*,*é,,,,
orage,orageux,*e,*eux,,,,
fragile,fragilité,*e,*ité,,,,
histoire,historique,*oire,*orique,,,,
allumer,allumette,*er,*ette,,,,
sauter,sautiller,*er,*iller,,,,
fin,final,*,*al,,,,
livrer,livraison,*er,*aison,,,,
blanchir,blanchisserie,*ir,*isserie,,,,
astrologue,astrologie,*ue,*ie,,,,
riche,richesse,*e,*esse,,,,
télé,télégramme,*,*gramme,,,,
claustrophobe,claustrophobie,*e,*ie,,,,